TB,Pad8590,Pad8373,Pad2378,Pad2124,Pad1319
229,4.81737,3.84723,59.5811,9.52502,3.00808
230,5.42833,4.55957,52.3099,12.4982,3.21014
231,5.31183,4.72568,44.7266,15.2483,3.44567
232,4.57455,3.72949,37.2617,18.0998,3.43211
233,3.60961,2.92298,30.3235,22.6253,3.46638
234,2.7436,3.3777,24.0574,28.9698,3.60467
235,2.85039,4.06269,18.5257,35.9685,3.44988
236,3.68254,4.03129,14.095,43.1086,3.35602
237,4.06903,3.60198,10.7503,50.4463,3.50129
238,4.03254,2.98587,8.61024,57.4891,3.35015
239,4.2518,2.74814,7.27417,62.9475,2.6815
240,4.49196,3.5111,6.07532,66.4092,2.21858
241,3.78947,4.5054,5.09381,67.7868,2.56646
242,2.92562,4.81467,4.91887,66.923,3.75641
243,3.13294,4.18597,5.29638,64.1263,4.61291
244,3.81387,3.33314,5.36972,59.329,4.21351
245,3.81824,3.25336,5.1216,52.7017,3.52823
246,3.29106,3.70283,5.27954,44.7391,3.41074
247,3.036,3.63422,5.86379,36.6976,3.9724
248,3.36469,2.9972,5.87902,29.9653,4.67862
249,4.01224,2.87611,4.87352,24.835,5.00375
250,4.2384,3.6692,4.04765,20.6592,5.27386
251,3.96461,4.54117,4.10948,16.5088,5.24305
252,3.32827,4.29378,4.44385,12.5433,4.4722
253,3.15518,3.42859,4.5527,9.6094,3.72587
254,3.66584,3.16673,4.56648,7.61087,3.75704
255,3.85878,3.41365,4.45383,6.13509,4.60675
256,3.6086,3.32543,4.03937,5.10462,5.36497
257,3.58502,2.8362,3.95656,4.1854,5.52323
258,4.03122,2.82882,4.21975,3.74206,5.53412
259,4.67018,3.64294,4.65467,4.36525,5.99379
260,4.83455,4.72029,4.5336,4.72511,6.57131
261,4.29327,4.76549,3.79456,4.13464,6.72819
262,3.08764,3.68335,3.2103,3.17796,7.30462
263,2.1303,2.53716,3.07395,2.89647,8.68196
264,2.62848,2.48933,3.44605,3.35223,10.637
265,4.20347,3.55995,4.29168,3.64381,13.0954
266,5.13334,3.96552,4.53132,3.50948,16.7959
267,4.55435,3.3489,3.80041,3.24949,21.791
268,3.14229,2.80503,3.31244,3.14893,26.9257
269,2.32211,2.88501,3.67281,3.31902,31.3847
270,3.00061,3.456,4.48353,3.71301,35.3427
271,3.77352,3.87639,4.55922,3.84275,39.0252
272,3.52122,3.79239,3.77373,3.81106,42.3366
273,2.94987,3.13033,2.66725,4.01203,44.3889
274,2.96437,2.75616,2.38022,4.14151,44.2753
275,3.46725,3.13635,3.23576,3.86201,42.4664
276,3.59906,3.6879,4.01021,3.33354,39.4861
277,3.20451,3.68882,3.93483,3.15101,36.0419
278,2.75732,3.02424,3.58648,3.07736,32.1617
279,2.63576,2.55925,3.7453,2.96495,27.7511
280,2.77933,2.89528,4.11456,3.1924,23.4182
281,3.37788,3.49603,3.98305,3.69477,19.1489
282,3.79059,3.32263,3.53067,3.89066,15.0325
283,3.21019,2.79685,3.23544,3.4231,11.5387
284,2.65791,2.69658,3.48102,3.00886,8.98261
285,2.57561,3.30124,4.05095,3.33123,7.36251
286,2.89193,3.85445,4.42017,3.70301,6.05528
287,3.31374,3.51896,4.30919,3.55898,5.01287
288,3.58693,2.93109,3.62941,3.0931,4.42024
289,3.7997,2.76249,2.87404,2.56527,3.9818
290,3.99248,2.75758,2.8357,2.67695,3.68263
291,3.84795,2.67692,3.50842,3.20476,3.52175
292,3.10656,2.88053,4.02422,3.30688,3.1318
293,2.12206,3.04911,3.63575,2.85008,2.83327
294,1.68651,2.86633,2.92172,2.66366,3.01348
295,2.57886,2.65656,3.08901,3.19006,3.4153
296,4.09828,3.17867,3.68375,3.72819,3.82789
297,4.80555,4.10286,3.46412,4.16393,3.73137
298,4.52292,4.21975,2.74972,4.26919,3.02297
299,4.05575,3.79302,2.71362,3.44182,2.5986
300,3.39949,3.01249,3.54642,1.99228,2.98785
301,2.91059,2.28583,4.18974,1.44472,3.49784
302,3.05972,2.22723,3.99435,2.412,3.48393
303,3.10941,2.75983,3.1681,3.92239,3.29776
304,3.15412,3.21787,2.77258,4.49864,3.41836
305,3.59129,3.12737,3.10034,3.96093,3.44983
306,3.93055,3.20541,3.83629,3.21686,3.27863
307,3.72271,3.39586,4.26062,2.93257,3.2236
308,3.67198,3.09341,3.88758,3.1258,3.18153
309,3.66443,2.70281,3.08116,3.30637,2.84859
310,3.35747,2.65027,2.36324,3.18944,2.128
311,2.93486,2.6966,2.33607,2.97528,1.70608
312,2.82885,2.77292,3.0214,2.87513,2.26457
313,3.0156,3.19357,3.6121,2.64571,3.20857
314,3.40047,3.76245,3.81089,2.26753,3.57598
315,3.84671,3.86441,3.90998,2.3091,3.3106
316,3.76067,3.55642,3.95652,2.95025,2.79201
317,3.27145,3.24767,3.43893,3.462,2.57531
318,2.65629,3.05052,2.40406,3.52735,2.53676
319,2.22466,2.93762,1.68039,3.64009,2.52715
320,2.39063,2.76733,2.11251,3.53982,2.35595
321,3.12644,2.46056,3.15978,2.94205,2.15699
322,3.60224,1.91784,3.44317,2.52392,2.20917
323,3.4233,1.86823,2.96539,2.95058,2.58084
324,2.96452,2.43902,2.66751,3.79189,3.41742
325,2.68748,2.95439,2.84546,3.64056,3.77468
326,3.40774,3.1121,3.39356,2.40087,2.8894
327,4.49422,3.14736,4.00696,1.72987,1.75058
328,4.03466,3.34929,4.17065,2.16972,1.64142
329,2.26679,3.31616,3.72161,2.91642,2.26723
330,1.44132,2.93636,3.26757,3.23524,2.45269
331,2.14382,2.77391,3.23366,3.36504,2.25453
332,3.32228,3.0765,3.28307,3.60851,2.2256
333,3.49123,3.0791,3.0411,3.86629,2.82127
334,2.44395,2.34987,2.89064,3.59027,3.61865
